ts,magnitudes,longitude,latitude,,
2024/3/3 23:47:57.599,2.1,78.513,40.979,,
2024/3/3 22:55:44.786,2.2,83.754,41.574,,
2024/3/3 18:6:57.727,3.6,78.577,41.082,,
2024/3/3 17:24:24.854,4.3,78.481,41.013,, 
2024/3/3 17:20:53.583,2.6,78.603,41.126,,
2024/3/3 12:26:16.02,2.2,78.472,41.108,,
2024/3/3 6:26:10.786,1.9,76.72,36.43,,
2024/3/3 5:15:46.357,2.1,75.938,39.825,,
2024/3/3 3:22:39.42,2.6,78.386,40.967,,
2024/3/3 0:38:26.683,2.6,83.83,40.703,,
2024/3/3 0:35:24.809,2.8,78.711,41.279,,
2024/3/3 0:16:5.065,2.6,77.964,40.725,,
2024/3/2 18:33:12.628,2.2,78.788,41.257,,
2024/3/2 18:29:17.362,2.4,78.812,41.25,,
2024/3/2 18:18:35.038,1.9,88.097,42.466,,
2024/3/2 16:18:30.205,2.5,78.485,41.111,,
2024/3/2 15:57:39.933,3,76.461,40.321,,
2024/3/2 13:12:45.527,2.6,83.777,41.425,,
2024/3/2 11:2:34.112,2.2,78.769,41.355,,
2024/3/2 10:6:0.091,2.4,79.999,36.048,,
2024/3/2 8:38:46.984,3.5,78.788,41.32,,
2024/3/2 4:31:2.809,2.1,78.887,41.328,,
2024/3/2 4:7:52.469,1.9,83.066,42.707,,
2024/3/1 23:20:42.21,2.5,78.737,41.259,,
2024/3/1 18:6:13.402,2.4,78.522,41.11,,
2024/3/1 15:45:55.841,1.9,83.977,41.423,,
2024/3/1 13:38:46.934,2.5,74.582,38.299,,
2024/3/1 12:44:37.711,2,78.819,41.268,,
2024/3/1 9:37:44.406,1.9,77.071,39.496,,
2024/3/1 9:22:24.405,2,78.857,41.254,,
2024/3/1 6:18:52.484,2.6,77.027,39.949,,
2024/3/1 5:3:39.505,2.3,78.739,41.178,,
2024/3/1 4:46:34.378,3.2,77.65,40.456,,
2024/3/1 4:8:28.316,1.9,78.475,41.164,,
2024/3/1 3:30:59.097,2,78.637,41.174,,
2024/3/1 2:42:47.241,2.2,78.519,41.1,,
2024/3/1 2:38:5.705,2.6,78.467,41.154,,
2024/3/1 0:49:45.694,1.9,77.063,36.326,,
2024/2/29 22:56:49.63,2.2,78.755,41.124,,
2024/2/29 21:30:29.426,3,78.624,41.257,,
2024/2/29 21:29:24.415,2.6,78.589,41.174,,
2024/2/29 21:15:50.765,2.4,83.741,41.409,,
2024/2/29 20:15:18.732,2.1,78.79,41.344,,
2024/2/29 16:35:19.641,2.1,75.439,38.564,,
2024/2/29 11:47:49.097,3.9,78.885,41.283,,
2024/2/29 7:10:34.794,2.2,77.016,36.782,,
2024/2/29 6:50:15.352,2.1,80.764,44.605,,
2024/2/29 5:37:43.041,2,78.763,41.289,,
2024/2/29 5:27:9.13,3.1,83.695,41.212,,
2024/2/29 1:46:3.275,2.2,78.601,41.17,,
2024/2/29 0:11:18.226,3,78.519,41.025,,
2024/2/29 0:9:51.578,2.2,84.186,43.628,,
2024/2/28 23:49:9.372,1.9,79.965,36.558,,
2024/2/28 22:36:51.826,2.4,75.743,37.974,,
2024/2/28 21:30:36.565,2,78.793,41.224,,
2024/2/28 20:59:53.469,2.3,79.185,36.497,,
2024/2/28 18:21:20.821,3.6,83.763,41.214,,
2024/2/28 18:14:45.301,3.6,83.755,41.2,,
2024/2/28 17:56:45.599,1.9,78.425,40.996,,
2024/2/28 15:44:42.403,2,78.509,41.035,,
2024/2/28 14:17:6.2,2.4,78.52,41.032,,
2024/2/28 14:6:16.242,2.6,83.802,41.472,,
